layer,head,delta_prefix_mass_head,clean_prefix_mass_head,corrupt_prefix_mass_head
6,20.0,0.0015869140625,0.39892578125,0.3973388671875
6,21.0,-0.0098876953125,0.6959228515625,0.705810546875
6,22.0,-0.01055908203125,0.78900146484375,0.799560546875
6,23.0,0.01397705078125,0.74273681640625,0.728759765625
6,24.0,0.013885498046875,0.6021728515625,0.588287353515625
6,25.0,-0.0030517578125,0.9615478515625,0.964599609375
6,26.0,0.046875,0.70867919921875,0.66180419921875
6,27.0,-0.031158447265625,0.37078857421875,0.401947021484375
6,28.0,-0.006195068359375,0.508087158203125,0.5142822265625
6,29.0,-0.020599365234375,0.470123291015625,0.49072265625
6,30.0,0.00311279296875,0.64849853515625,0.6453857421875
6,31.0,-0.004150390625,0.74462890625,0.748779296875
7,0.0,-0.035186767578125,0.41680908203125,0.451995849609375
7,1.0,0.00457763671875,0.81719970703125,0.8126220703125
7,2.0,-0.00640869140625,0.520904541015625,0.527313232421875
7,3.0,-0.00836181640625,0.79052734375,0.79888916015625
7,4.0,0.058319091796875,0.54620361328125,0.487884521484375
7,5.0,-0.0003662109375,0.5589599609375,0.559326171875
7,6.0,-0.00311279296875,0.76446533203125,0.767578125
7,7.0,0.001708984375,0.93841552734375,0.93670654296875
7,8.0,-0.02166748046875,0.6392822265625,0.66094970703125
7,9.0,0.0255126953125,0.7392578125,0.7137451171875
7,10.0,0.044708251953125,0.503143310546875,0.45843505859375
7,11.0,-0.0001220703125,0.9560546875,0.9561767578125
7,12.0,0.01031494140625,0.6884765625,0.67816162109375
7,13.0,-0.00189208984375,0.644287109375,0.64617919921875
7,14.0,-0.067413330078125,0.1974639892578125,0.2648773193359375
7,15.0,-0.04150390625,0.3150634765625,0.3565673828125
7,16.0,0.02239990234375,0.58843994140625,0.5660400390625
7,17.0,0.02471923828125,0.80364990234375,0.7789306640625
7,18.0,-0.02557373046875,0.69158935546875,0.7171630859375
7,19.0,0.02496337890625,0.767822265625,0.74285888671875
7,20.0,-0.015380859375,0.465667724609375,0.481048583984375
7,21.0,-0.010589599609375,0.1865386962890625,0.1971282958984375
7,22.0,-0.00384521484375,0.7843017578125,0.78814697265625
7,23.0,0.029083251953125,0.57672119140625,0.547637939453125
7,24.0,-0.0085296630859375,0.1845703125,0.1930999755859375
7,25.0,-0.01409912109375,0.6986083984375,0.71270751953125
7,26.0,0.01129150390625,0.57220458984375,0.5609130859375
7,27.0,-0.02679443359375,0.73406982421875,0.7608642578125
7,28.0,-0.0018310546875,0.88409423828125,0.88592529296875
7,29.0,0.027008056640625,0.327880859375,0.300872802734375
7,30.0,-0.00799560546875,0.7391357421875,0.74713134765625
7,31.0,0.010986328125,0.91485595703125,0.90386962890625
8,0.0,-0.002685546875,0.87799072265625,0.88067626953125
8,1.0,0.026947021484375,0.478759765625,0.451812744140625
8,2.0,0.02313232421875,0.76751708984375,0.744384765625
8,3.0,-0.0174560546875,0.677734375,0.6951904296875
8,4.0,-0.0018310546875,0.933349609375,0.9351806640625
8,5.0,-0.0087890625,0.937744140625,0.946533203125
8,6.0,-0.00775146484375,0.87969970703125,0.887451171875
8,7.0,0.01239013671875,0.6873779296875,0.67498779296875
8,8.0,-0.008544921875,0.67352294921875,0.68206787109375
8,9.0,0.0152587890625,0.68359375,0.6683349609375
8,10.0,0.016357421875,0.57830810546875,0.56195068359375
8,11.0,0.00604248046875,0.31280517578125,0.3067626953125
8,12.0,-0.00665283203125,0.280426025390625,0.287078857421875
8,13.0,-0.00213623046875,0.98297119140625,0.985107421875
8,14.0,0.009521484375,0.62188720703125,0.61236572265625
8,15.0,0.00115966796875,0.84661865234375,0.845458984375
8,16.0,-0.0792236328125,0.53228759765625,0.61151123046875
8,17.0,-0.000732421875,0.496337890625,0.4970703125
8,18.0,-0.00860595703125,0.6844482421875,0.69305419921875
8,19.0,-0.073150634765625,0.2762451171875,0.349395751953125
8,20.0,0.03460693359375,0.51422119140625,0.4796142578125
